what,kind,bundleId,bundleVersion,description,time
started,bundle,com.ebay.tools.raptor.server.geronimo,2.2.0.201304060228,"com.ebay.tools.raptor.server.geronimo",1371444472775
started,bundle,com.ebay.tools.soa.external,2.10.0.201304120519,"com.ebay.tools.soa.external",1371444472775
started,bundle,com.ebay.tools.tracking,2.1.0.201304082141,"com.ebay.tools.tracking",1371444472775
started,bundle,com.ebay.tools.tracking.ride,2.1.0.201304082141,"com.ebay.tools.tracking.ride",1371444472775
started,bundle,com.ebay.tools.dede,1.12.1.201209041901,"com.ebay.tools.dede",1371444472776
started,bundle,com.ebay.tools.dede.ui,1.12.1.201209041901,"com.ebay.tools.dede.ui",1371444472776
started,bundle,com.ebay.tools.raptor.m2e.logging.impl,2.1.0.201304090722,"com.ebay.tools.raptor.m2e.logging.impl",1371444773458
started,bundle,org.eclipse.wst.jsdt.ui,1.1.202.v201208171701,"org.eclipse.wst.jsdt.ui",1371446656062
stopped,bundle,com.ebay.tools.content.validation.facet,1.0.0.201301050111,"com.ebay.tools.content.validation.facet",1371446859487
stopped,bundle,com.ebay.tools.v4.appcore,1.0.0.201301050111,"com.ebay.tools.v4.appcore",1371446859488
stopped,bundle,com.ebay.tools.codegen,1.0.0.201301050111,"com.ebay.tools.codegen",1371446859488
stopped,bundle,com.ebay.tools.soa.errorlibrary.v4content,2.10.0.201304120519,"com.ebay.tools.soa.errorlibrary.v4content",1371446859488
stopped,bundle,com.ebay.content.codegen,1.0.0.201301050111,"com.ebay.content.codegen",1371446859488
stopped,bundle,com.ebay.tools.codegen.spec.manager,1.0.0.201301050111,"com.ebay.tools.codegen.spec.manager",1371446859488
stopped,bundle,com.ebay.tools.webres.resview,1.0.0.201301050111,"com.ebay.tools.webres.resview",1371446859488
stopped,bundle,com.ebay.tools.webres.explorer,1.0.0.201301050111,"com.ebay.tools.webres.explorer",1371446859488
stopped,bundle,com.ebay.tools.esf.taglib.v4,1.0.0.201301050111,"com.ebay.tools.esf.taglib.v4",1371446859488
stopped,bundle,com.ebay.tools.content,1.0.0.201301050111,"com.ebay.tools.content",1371446859502
stopped,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1371446859508
stopped,bundle,com.ebay.tools.esf.taglib,1.0.0.201301050111,"com.ebay.tools.esf.taglib",1371446859508
stopped,bundle,com.ebay.tools.esf.webtool,1.0.0.201301050111,"com.ebay.tools.esf.webtool",1371446859508
stopped,bundle,com.ebay.tools.raptor.app.metadata,2.1.0.201302010357,"com.ebay.tools.raptor.app.metadata",1371446859508
stopped,bundle,com.ebay.tools.raptor.git,2.1.0.201302010357,"com.ebay.tools.raptor.git",1371446859508
stopped,bundle,com.ebay.tools.raptor.materialize,2.1.0.201302010357,"com.ebay.tools.raptor.materialize",1371446859508
stopped,bundle,com.ebay.tools.raptor.osgiview,2.1.0.201302010357,"com.ebay.tools.raptor.osgiview",1371446859508
stopped,bundle,com.ebay.tools.raptor.projectwizard,2.2.0.201304060227,"com.ebay.tools.raptor.projectwizard",1371446859508
